,path,atol,negative_concs,top_specie,top_rxn,max_rate
0,../data/simulated/s50r5000/1.json,1e-10,4039,s43,,r:s34+s8->s37+s7,2.8264075363697243e+32
1,../data/simulated/s50r5000/1.json,1e-15,3421,s39,,r:s38+s7->s17+s24,5.5384285512891944e+20
2,../data/simulated/s50r5000/1.json,1e-20,1077,s20,,r:s13+s44->s12+s16,1.3839726538337276e+19
3,../data/simulated/s50r5000/1.json,1e-25,286,s20,,r:s13+s44->s12+s16,1.3833452752068962e+19
4,../data/simulated/s25r2500/29.json,1e-10,1190,s7,,r:s11+s6->s10+s9,6.555822173287028e+26
5,../data/simulated/s25r2500/29.json,1e-15,686,s4,,r:s2+s20->s10+s23,2.389979309412247e+21
6,../data/simulated/s25r2500/29.json,1e-20,0,s4,,r:s7+s8->s14+s25,1.7665164345513443e+17
7,../data/simulated/s25r2500/29.json,1e-25,0,s4,,r:s7+s8->s14+s25,1.767035365760712e+17
8,../data/simulated/s50r5000/21.json,1e-10,2800,s46,,r:s37+s9->s18+s40,2.9415968113245295e+25
9,../data/simulated/s50r5000/21.json,1e-15,140,s46,,r:s18+s29->s30+s48,1328027444531175.5
10,../data/simulated/s50r5000/21.json,1e-20,0,s46,,r:s18+s29->s30+s48,1328027444531175.5
11,../data/simulated/s50r5000/21.json,1e-25,0,s46,,r:s18+s29->s30+s48,1328027444531175.5
12,../data/simulated/s25r1000/11.json,1e-10,146,s3,,r:s11+s8->s1+s5,7.950184580545795e+27
13,../data/simulated/s25r1000/11.json,1e-15,15,s6,,r:s22+s4->s16+s3,1.8444697201800768e+23
14,../data/simulated/s25r1000/11.json,1e-20,2,s6,,r:s22+s4->s16+s3,1.8444697201800768e+23
15,../data/simulated/s25r1000/11.json,1e-25,0,s6,,r:s22+s4->s16+s3,1.8444697201800768e+23
