,path,atol,negative_concs,top_specie,top_specie_conc,top_rxn,max_rate
0,../data/simulated/s50r5000/1.json,1e-10,4039,s43,,r:s34+s8->s37+s7,2.8264075363697243e+32
1,../data/simulated/s50r5000/1.json,1e-15,3421,s39,,r:s38+s7->s17+s24,5.5384285512891944e+20
2,../data/simulated/s50r5000/1.json,1e-20,1077,s20,,r:s13+s44->s12+s16,1.3839726538337276e+19
3,../data/simulated/s50r5000/1.json,1e-25,286,s20,,r:s13+s44->s12+s16,1.3833452752068962e+19
4,../data/simulated/s25r2500/29.json,1e-10,1190,s7,,r:s11+s6->s10+s9,6.555822173287028e+26
5,../data/simulated/s25r2500/29.json,1e-15,686,s4,,r:s2+s20->s10+s23,2.389979309412247e+21
6,../data/simulated/s25r2500/29.json,1e-20,0,s4,,r:s7+s8->s14+s25,1.7665164345513443e+17
7,../data/simulated/s25r2500/29.json,1e-25,0,s4,,r:s7+s8->s14+s25,1.767035365760712e+17
8,../data/simulated/s50r5000/21.json,1e-10,2800,s46,,r:s37+s9->s18+s40,2.9415968113245295e+25
9,../data/simulated/s50r5000/21.json,1e-15,140,s46,,r:s18+s29->s30+s48,1328027444531175.5
10,../data/simulated/s50r5000/21.json,1e-20,0,s46,,r:s18+s29->s30+s48,1328027444531175.5
11,../data/simulated/s50r5000/21.json,1e-25,0,s46,,r:s18+s29->s30+s48,1328027444531175.5
12,../data/simulated/s25r1000/11.json,1e-10,146,s3,,r:s11+s8->s1+s5,7.950184580545795e+27
13,../data/simulated/s25r1000/11.json,1e-15,15,s6,,r:s22+s4->s16+s3,1.8444697201800768e+23
14,../data/simulated/s25r1000/11.json,1e-20,2,s6,,r:s22+s4->s16+s3,1.8444697201800768e+23
15,../data/simulated/s25r1000/11.json,1e-25,0,s6,,r:s22+s4->s16+s3,1.8444697201800768e+23
0,../data/simulated/s25r2500/15.json,1e-10,762,s6,1408727131973.9458,r:s14+s19->s4+s6,7.206667610553823e+24
1,../data/simulated/s25r2500/15.json,1e-15,0,s11,1.1292800079271104,r:s23+s3->s21+s8,1.1345467873903337e+19
2,../data/simulated/s25r2500/15.json,1e-20,2,s11,1.1295628517413607,r:s23+s3->s21+s8,1.1441824353384763e+19
3,../data/simulated/s25r2500/15.json,1e-25,0,s11,1.1293135336277313,r:s23+s3->s21+s8,1.142202837074624e+19
4,../data/simulated/s50r5000/7.json,1e-10,2402,s37,0.999998013611651,r:s20+s32->s29+s45,7.169613928468997e+22
5,../data/simulated/s50r5000/7.json,1e-15,1104,s16,0.8964559408705659,r:s13+s40->s28+s6,719382886024209.6
6,../data/simulated/s50r5000/7.json,1e-20,1,s16,0.8891750108488354,r:s13+s40->s28+s6,718826131763639.5
7,../data/simulated/s50r5000/7.json,1e-25,63,s16,0.8989946590245006,r:s13+s40->s28+s6,719107393781503.2
8,../data/simulated/s50r1000/10.json,1e-10,277,s21,0.981851620408585,r:s24+s41->s20+s44,13189921.598447058
9,../data/simulated/s50r1000/10.json,1e-15,1120,s21,0.9818374345623918,r:s24+s41->s20+s44,322026.6442662305
10,../data/simulated/s50r1000/10.json,1e-20,1,s21,0.981856808777615,r:s27+s9->s21+s33,41031.81000201829
11,../data/simulated/s50r1000/10.json,1e-25,0,s21,0.9818570557271128,r:s27+s9->s21+s33,41031.81000201829
12,../data/simulated/s50r5000/24.json,1e-10,135,s18,1.0000673924774832,r:s10+s15->s18+s34,5.983686811259698e+29
13,../data/simulated/s50r5000/24.json,1e-15,311,s6,0.631369038769528,r:s18+s3->s39+s48,1372052103014482.0
14,../data/simulated/s50r5000/24.json,1e-20,9,s6,0.6569705020530194,r:s18+s3->s39+s48,1372138025665291.5
15,../data/simulated/s50r5000/24.json,1e-25,0,s6,0.6569821609972759,r:s18+s3->s39+s48,1372344431216344.0
16,../data/simulated/s25r2500/18.json,1e-10,0,s3,1.0,r:s23+s3->s13+s4,8.695091408597674e-14
17,../data/simulated/s25r2500/18.json,1e-15,0,s3,1.0,r:s23+s3->s13+s4,8.695091408597674e-14
18,../data/simulated/s25r2500/18.json,1e-20,0,s3,1.0,r:s23+s3->s13+s4,8.695091408597674e-14
19,../data/simulated/s25r2500/18.json,1e-25,0,s3,1.0,r:s23+s3->s13+s4,8.695091408597674e-14
0,../data/simulated/s100r2500/21.json,1e-10,0,s11,1.0,r:s11+s55->s13+s28,1.487511436734248e-40
1,../data/simulated/s100r2500/21.json,1e-15,0,s11,1.0,r:s11+s55->s13+s28,1.487511436734248e-40
2,../data/simulated/s100r2500/21.json,1e-20,0,s11,1.0,r:s11+s55->s13+s28,1.487511436734248e-40
3,../data/simulated/s100r2500/21.json,1e-25,0,s11,1.0,r:s11+s55->s13+s28,1.487511436734248e-40
4,../data/simulated/s25r2500/6.json,1e-10,245,s23,18.568535352443572,r:s12+s24->s23+s3,2.7276136906504997e+35
5,../data/simulated/s25r2500/6.json,1e-15,17,s1,0.9839819453330384,r:s19+s9->s24+s7,1.5412012788756486e+26
6,../data/simulated/s25r2500/6.json,1e-20,11,s1,0.9839820506511994,r:s19+s9->s24+s7,1.5412012788756486e+26
7,../data/simulated/s25r2500/6.json,1e-25,0,s1,0.9839821563115314,r:s19+s9->s24+s7,1.5412012788756486e+26
8,../data/simulated/s25r2500/15.json,1e-10,762,s6,1408727131973.9458,r:s14+s19->s4+s6,7.206667610553823e+24
9,../data/simulated/s25r2500/15.json,1e-15,0,s11,1.1292800079271104,r:s23+s3->s21+s8,1.1345467873903337e+19
10,../data/simulated/s25r2500/15.json,1e-20,2,s11,1.1295628517413607,r:s23+s3->s21+s8,1.1441824353384763e+19
11,../data/simulated/s25r2500/15.json,1e-25,0,s11,1.1293135336277313,r:s23+s3->s21+s8,1.142202837074624e+19
12,../data/simulated/s100r5000/0.json,1e-10,92,s57,0.4442459634803281,r:s23+s46->s43+s86,9861473385039654.0
13,../data/simulated/s100r5000/0.json,1e-15,143,s57,0.37540799663499497,r:s23+s46->s43+s86,6849803134994893.0
14,../data/simulated/s100r5000/0.json,1e-20,4231,s21,0.30455948961168794,r:s23+s46->s43+s86,6850345403542115.0
15,../data/simulated/s100r5000/0.json,1e-25,11,s21,0.42043809406331994,r:s23+s46->s43+s86,6851345095708050.0
