,rxn,real_molrank,energy_molrank,max_rate
0,HCO + O = CO + OH,347166173780.57764,0.03914361874910309,9.97271863359575e-09
1,CH2 + CO = CH2(S) + CO,860830740.5786493,0.00020825136676206598,3.399643458207445e-05
2,C3H7 + O = C2H5 + CH2O,859342846.9773232,0.002079623131301669,1.05086068852215e-11
3,C2H4 + H = C2H3 + H2,1021662683.6125247,0.0002433127088789771,130.40009810590198
4,CH3O + H = CH2(S) + H2O,14221495825356.342,0.05731424432738874,2.2617145890551382e-10
5,CO + CO + H = HCCO + O,2.1967633114870022e-17,1.6090885960796454e-24,1.7499323980397492e-30
6,CH2 + OH = CH + H2O,187129176498.2879,0.04461992403652433,2.4058680030079997e-12
7,CH2O + OH = CH2OH + O,0.0013668821779330436,1.8098817307381144e-17,8.042600645278038e-17
8,CH3CHO + H = CH3 + CO + H2,109109440.21110195,0.0003714699075349799,1.5479854968695932e-08
9,CH2(S) + O2 = CO + H + OH,2107334434415.6704,0.06315997370061949,0.02442718055291471
10,CO + H + H2O = H2O + HCO,28382448.296561703,0.022196405692079025,7.445196588237131e-09
11,CH2(S) + O = H + HCO,29525065034.043037,0.014385045342286549,1.101485615711426e-12
12,H2O + HCO = CH2O + OH,443512.71113138535,1.2121204739962979e-08,1.6575550004042144e-10
13,CH3 + OH = CH2OH + H,259056721138.52704,0.042887515586909994,0.0003052025111032379
14,H2O + HCCO = CH2CO + OH,1613290.4489617532,5.217451683692329e-07,3.127164471347099e-09
15,CH2O + HCO = C2H3 + O2,2.619407240730963e-08,3.743595372638526e-21,6.3106203057386e-22
16,C2H2 + O = CH2 + CO,266343577.30296686,0.004120845605199202,0.0005417586702004191
17,CH2CO + H = CH2CHO,139783633336.65942,0.0014729896189536178,0.0021290116442512544
18,C2H3 + H2 = C2H4 + H,165302913.36601657,0.001099093942591237,130.39658923065718
19,CH3 + HCO = CH4 + CO,12097038800820.262,0.20021460580205364,0.000981879257687483
20,HCCO + O2 = CO + CO + OH,1879643950.12611,0.0011139943562692677,0.0005748492847517069
21,CH2(S) + CO2 = CH2 + CO2,1896861960.5362673,0.00821602366232123,3.449415168820521e-08
22,HO2 + O = O2 + OH,886095815086.6053,0.2937517123746658,0.000988082615780031
23,CH4 + OH = CH3 + H2O,1272301395350.2722,0.49905102129278406,433.97322907631946
24,CH3CHO + O = CH3 + CO + OH,2145208.1160362046,0.00036178624502097883,1.6785116784926759e-12
25,C2H3 + H = C2H2 + H2,153104254774.53757,0.0008884700550747976,0.0039990633346163726
26,CH2O + OH = CH3 + O2,0.00018130264732788568,9.865901395296494e-13,1.066766991281451e-17
27,CH2(S) + H2O = CH3O + H,210507427.01070744,7.701879770588742e-05,3.491707548340136e-11
28,CH2(S) + H2 = CH3 + H,2018844366089.2705,0.018271526877854678,0.0008917138224898519
29,CH2O + OH = CH3O + O,3.445468107202007e-06,6.434469146940572e-19,2.0272796346039678e-19
30,CH3O + OH = CH3OH + O,100730926116.428,0.1223113157897281,2.117423528258863e-12
31,C2H + OH = H + HCCO,1493405010.091131,1.973212263552556e-06,7.104629054672206e-15
32,C2H3 + CO = CH2 + HCCO,2.8306301214005933e-09,5.679399680439098e-24,4.8364862298367724e-17
33,H + OH = H2 + O,206902091139.43048,0.11670402372131616,1.594923326352775e-08
34,HCCO + OH = CH2CO + O,32142922.807470214,0.0005559400212105756,2.8092226376892606e-15
35,CH2CHO + OH = CH3CHO + O,4124383.718287234,0.00011347519221955247,4.739535972764229e-16
36,CH3O + H = CH2O + H2,9109984367617.143,0.05731424432738874,1.44880572362631e-10
37,C2H5 + CH4 = C2H6 + CH3,2258678.2833249713,0.0044794916437793176,1.86352834441548
38,C2H2 + H2 = C2H4,1.34261422154248e-07,0.005234195613798343,3.029347521182105e-06
39,CH + H2 = CH3,133982479204.38911,0.0017959415544308538,4.514034617829864e-08
40,H2 + O2 = H + HO2,22.55439683365266,2.397622267050872e-13,0.0013176142582972234
41,C2H5 + O2 = C2H4 + HO2,1353654373.5327024,0.05749928903497535,0.29854375186153126
42,CH4 = CH3 + H,2.3954242864831494,3.1257129399328857e-24,2.3954242864831494
43,CH + CO = C2H + O,3.8741314638922946e-07,4.286479096531518e-21,1.0221198924836249e-26
44,H + H2O + O2 = H2O + HO2,8.728077331052226e+16,0.11520197167026909,206.35929112043397
45,CH2CHO + OH = CH2CO + H2O,11995174818.975306,0.0010445685936431124,1.378425637315296e-12
46,CH2 + H = CH + H2,12799084474532.94,0.02090859060412178,5.017756449705633e-08
47,CO2 + H = CO + OH,1185951.869254377,2.0634468500096631e-07,2.5281703495209515e-05
48,O2 + OH = HO2 + O,52.61277681238893,1.100062282384259e-12,1.6690504402190776e-08
49,CH2 + CO2 = CH2(S) + CO2,10546505.790985735,0.00014059985063927306,1.3327867801010818e-07
50,CH2CHO + H = CH2CO + H2,9611338289.626509,0.0004894776841065268,3.056196268729641e-11
51,CH3CHO + H = CH2CHO + H2,109109440.21110195,0.0003714699075349799,1.5479854968695932e-08
52,H + HCCO = C2H + OH,11.025861766126724,4.14142504520967e-15,6.027050991889032e-18
53,C + O2 = CO + O,102986766789.63156,0.00020535672744501285,5.9981111905733454e-15
54,H + O = OH,11079288656187.97,0.05326110541937392,7.114294517991729e-06
55,CH3OH = CH3O + H,0.01848459956940752,1.0057745917793423e-24,6.953360622990351e-09
56,H + HCCOH = C2H2 + OH,54744440.83543356,3.7507642651621564e-06,5.730918781645067e-07
57,C3H8 + OH = C3H7 + H2O,1515416971.9448888,0.005068344882143006,7.434117641592051e-08
58,HCCO + O = CO + CO + H,2360954474.676622,0.0002537185876919951,4.630259184678143e-12
59,CO + H2 = H + HCO,9.858495972336826e-07,2.065967781373287e-21,3.2447256911720213e-09
60,C2H4 + H = CH2 + CH3,2.889678455194979,1.1020274370856763e-16,3.6882462293674896e-07
61,CH + CH2 = C2H2 + H,23366743314.099857,0.0005550641476088472,6.975750562268885e-19
62,C2H4 + H = CH2(S) + CH3,0.006250897645751558,1.3322129403193951e-18,7.978344313934988e-10
63,CO + OH = CO2 + H,49179893821.80775,0.09615407417996259,0.0009657860107850359
64,CO2 + H2 = CO2 + H + H,0.0003999338965475503,2.2828266210970178e-25,4.214180857636627e-07
65,CH2(S) + OH = CH2O + H,2188510055073.7146,0.031520049380119534,9.587234495964847e-12
66,C3H8 = C2H5 + CH3,22.834567939649347,5.028292628642596e-22,0.08855366173009721
67,CH + H2O = CH2O + H,109974253286.70764,0.0030582876396944175,2.2585154230312206e-12
68,C2H2 + H = C2H + H2,607917.3282711644,2.723213003723578e-09,0.5816403327013066
69,CH + CH4 = C2H4 + H,453358584266.7832,0.006208108501494911,2.5628841354527215e-06
70,H + HO2 = H2 + O2,37567792428849.47,0.3016143453097052,0.004121212272466652
71,C3H8 + O = C3H7 + OH,26883214.508887675,0.002313079210654987,1.1382149030043241e-08
72,HO2 = H + O2,2924071972170.5625,9.440250889802982e-12,1179820.3321939749
73,CH2CO + H = CH + CH2O,0.0024231006629612797,9.700139467944407e-20,3.6905676319150007e-17
74,CH3CHO + O2 = CH3 + CO + HO2,5.837193506779834,7.744103267721195e-15,1.5651549254610418e-09
75,H + H2O2 = H2 + HO2,4730284259.180309,0.08660975801036293,1.1589199268171124e-07
76,CH2O = CO + H2,602.1000606641503,0.23580728358158198,0.2869302142558431
77,CH3 + CH3OH = CH3O + CH4,446858847.94133,0.17399280950850268,0.0003159439874654481
78,C + CH3 = C2H2 + H,122482696670.79008,0.00023922855279672142,1.320831916908366e-15
79,CH3 + OH = CH4 + O,30021680126.325138,0.5813651935389658,3.536944388790044e-05
80,HCO + O2 = CO + HO2,4866268575130.252,0.17186667625389948,43.12046187179251
81,CO + H + OH = CH2(S) + O2,1.7440400740326208e-10,8.864685691856799e-17,1.0782337508291664e-33
82,C2H3 + OH = C2H2 + H2O,29192424596.594833,0.0018960372373616138,2.8687469288062126e-11
83,H + HCCOH = CH2CO + H,84297571.90383327,3.7507642651621564e-06,8.824686684132931e-07
84,H2O + HO2 = H2O2 + OH,714990.9564441915,5.027715217272171e-08,3.6072362400639134e-06
85,CH3OH = CH3 + OH,423.67183499060434,3.834919672944947e-22,0.00015937283593469583
86,C2H3 + H2O = C2H4 + OH,15487972.745129153,2.9836850429906814e-05,5.067551987976277e-05
87,CO2 + H = HCO + O,2.966311815789369e-11,2.0341625372681096e-26,6.323478864978954e-22
88,CH3CHO + HO2 = CH3 + CO + H2O2,881998.8681320124,2.148638602041934e-06,1.1284170459758924e-10
89,CH2CO + H = H2 + HCCO,5746884354.970102,0.000687629990639206,8.752944402603341e-05
90,C3H8 + O2 = C3H7 + HO2,0.07263121522773866,4.4798149684634035e-14,1.1920735254379907e-08
91,CO + H2O = CH2(S) + O2,1.8338676288279325e-28,1.00746128976048e-42,3.617199587966582e-36
92,CH3 + O = CH2O + H,1366292877644.204,0.2653220675079254,0.013770927278034827
93,CH3CHO + OH = CH3 + CO + H2O,429692589.79459214,0.0007927344013707956,1.907932974084273e-11
94,CH3 + CH3 = C2H5 + H,67974069616.527435,0.004387494251826324,0.8459571301622911
95,C2H2 + OH = H + HCCOH,16607855.9713784,0.00013839267187735983,1.3610195663271487e-06
96,C2H3 + O2 = CH2O + HCO,11191547258.858448,0.003799285356535206,0.06176573920604887
97,C2H2 + H = C2H3,5413667543.513445,0.004231145205204005,5179.663820569505
98,CH3O + H2 = CH3OH + H,71808889279.51775,0.06387066524261592,2.468284157064997e-07
99,CH3OH + H = CH3O + H2,124621723475.89436,0.034927548456438105,1.1957923171405964e-05
100,CH3 + H = CH2(S) + H2,100511247542.2227,0.00012810471743536896,0.0008916233950494307
101,CH + H2 = CH2(S) + H,54334498.974943906,4.178596844349905e-06,1.8305961404191076e-11
102,C2H5 + H = CH3 + CH3,2673272612172.78,0.013446317320648686,0.032938469798009795
103,H + HCO = CH2O,12827971834439.086,0.04019134678951286,1.5190452381364746e-07
104,CH2OH + H2 = CH3OH + H,145689712.56508115,0.00046098626407851164,1.833870404115054e-08
105,CO2 + H + H = CO2 + H2,1677809488449.5154,0.030420098928753504,3.8629691284332356e-07
106,CO2 + O = CO + O2,0.0035568597442393007,0.0008081465749514606,4.7478706886752575e-17
107,CH2 + O2 = CH2O + O,87224933149.13582,0.08940954357920579,0.006510589841291855
108,CH2CHO + O = CH2 + CO2 + H,4045655579.73907,0.00047671773611376487,3.911576818006688e-12
109,CH + O2 = HCO + O,507006016738.35254,0.006208108501494911,1.1533489904976211e-07
110,CO + H = C + OH,4.4814575155474056e-20,6.563265280307784e-36,3.065150363334359e-30
111,CH3 + OH = CH2(S) + H2O,30166707790368.555,0.5813651935389658,0.035540305338825
112,C3H7 + HO2 = C2H5 + CH2O + OH,13915820617.658653,0.011776777149095925,2.7831186356657512e-08
113,CH2 + CO = C2H2 + O,0.10167309934723372,4.983616038866785e-13,4.0153339184791635e-15
114,CH2OH + HCO = CH2CHO + OH,2479934340.9042964,7.896377330591476e-05,2.4725721898725393e-14
115,CH2CO + H = H + HCCOH,10451.290512827709,2.603203731371732e-10,1.5918114780771957e-10
116,CH3 + OH = CH2 + H2O,231202525341.24026,0.5813651935389658,0.0002723866456636869
117,CH3 + CH3OH = CH2OH + CH4,1340576543.8239899,0.17399280950850268,0.0009478319623963441
118,CO + CO + OH = HCCO + O2,1.2620159533196538e-16,1.3808689389737553e-20,4.752658129484871e-34
119,CH2OH + OH = CH3OH + O,392047449.5581913,0.0021150687861844087,1.2614857820388207e-14
120,C + CH2 = C2H + H,9171771509.722887,1.8360851271777963e-05,6.792619322079788e-23
121,CH2CHO + H = CH3 + HCO,19222676579.253017,0.0004894776841065268,6.112392537459281e-11
122,H2O + HCO = CO + H + H2O,222880871429.41516,1.3856804638174308e-05,8.329801912325224e-05
123,H2 + HO2 = H + H2O2,39259413.78164294,6.652317999907973e-05,0.0013038906133086726
124,HCCO + HCCO = C2H2 + CO + CO,9027415695.36611,0.0011139943562692677,2.3601689549583866e-12
125,CH3 + OH = CH2O + H2,612291536221.8528,0.5813651935389658,0.0007213590659253379
126,CH3O = CH2O + H,1824785818956141.8,1.4253681010427463e-06,114.61235620829616
127,HCO + OH = CH2O + O,59847036.307297476,7.358420962787111e-05,2.0668092626127935e-13
128,CH3 + HCO = CH2CHO + H,267106642.76363,0.00013638547634703418,2.1680220791088585e-08
129,CH3 + O2 = CH3O + O,8017764.436466379,7.597663073809757e-07,25.502536841965135
130,CH3OH + OH = CH2OH + H2O,433546541976.34125,0.07453704500776182,1.699608609112888e-05
131,CH2O + O = HCO + OH,97003575124.13834,0.10585165791827342,0.0472410204724154
132,H2O + HO2 = H + H2O + O2,40900715971897.12,4.650531253593031e-12,206.3502252282044
133,C3H7 + H2 = C3H8 + H,558503.2403290654,0.000496314818515179,0.020164574608617432
134,C2H2 + H = CH + CH2,6.9539303864694425e-15,3.738421989383336e-31,6.653349387276653e-21
135,C2H + H2O = C2H2 + OH,480693731.9329496,1.9478158167710986e-06,1.168192206575996e-06
136,CH3 + CH3CHO = CH3 + CH4 + CO,2033955.6077160574,0.0018504903927192525,1.945789109881158e-07
137,C2H + O = CH + CO,100737211.47153053,9.00529930611795e-07,1.1638716610719361e-14
138,CH2O + CH3 = CH4 + HCO,27301133556.838127,0.5414176982317596,27.85921165441527
139,CH3CHO + H = C2H5 + O,5.707830943883899e-06,1.715705749318685e-20,8.097960637155506e-22
140,C2H2 + HO2 = C2H3 + O2,1275620.3767277724,2.7176979502586827e-05,0.00046842812275640704
141,C3H7 + H = C2H5 + CH3,2783578868.7243395,0.0021352868521782534,2.665584375045436e-06
142,CH3 + CH3 = C2H6,14505377964134.18,1.1649413962383006,180.5236612091075
143,CH3 + O = CO + H + H2,909961857245.2505,0.2653220675079254,0.009171546428256397
144,CH2O + H = CH + H2O,64.81368749656177,1.9683854954149717e-14,8.769812641607194e-12
145,CH4 + H = CH3 + H2,173192379634.60077,0.12049518281687942,2014.884444402134
146,CH2O + H = H2 + HCO,3463600858700.6577,0.10868491027635743,0.46865302329428327
147,C3H7 + OH = C3H8 + O,3027532.122493436,0.002277161083878745,2.152690699377989e-15
148,C2H5 + H = C2H6,2419055182909.1562,0.013446317320648686,0.02980615434398593
149,CH4 + HCO = CH2O + CH3,6246459.443364718,2.8565644133318412e-05,0.0003522886669153624
150,CH2OH = CH2O + H,552990253508.6588,1.0287588415439932e-08,0.13216195677002318
151,C2H5 + CH3 = C3H7 + H,3321230.5938940984,4.367958561768946e-05,2.6655719752768447e-06
152,C2H5 + O = CH3CHO + H,32465860135.873623,0.0130957920254683,2.4551188846571188e-08
153,CH2CO + O = CH2 + CO2,176333295.79003575,0.0014345909921274847,2.0023330293562648e-07
154,CH3 + H2O = CH4 + OH,302522104.52027744,0.0004943173382669454,0.013173151580869942
155,H2O2 + HCO = CH2O + HO2,9603337.69351257,0.06365281608061629,1.3300935791068822e-11
156,O + O = O2,3138379205320.3403,0.22775572090121782,7.035342556359206e-07
157,C2H4 + HO2 = C2H5 + O2,5982672.671574111,7.1004902438476e-05,0.0009710491691257925
158,C2H5 + H2 = C2H6 + H,12424870.177785862,0.0025149701085954456,6.74521063576811
159,CH3 + HO2 = CH4 + O2,1749023458364.2065,1.5025024557321893,2.4350949884127004
160,CH2O + H2 = CH3O + H,2.2572349368276328e-06,1.4024139133212961e-19,9.678885627756743e-13
161,CH2 + OH = CH2O + H,1498750904952.9297,0.04461992403652433,1.9269025355533095e-11
162,CO + H = CH + O,1.2796335120302619e-24,1.1516803870934911e-40,8.752217578158337e-35
163,CH2O + H = CH2OH,971622796358.4835,0.10868491027635743,0.13146837051711308
164,CH3O + OH = CH3 + HO2,335210834.7156279,4.133928983936899e-07,7.046329620098731e-15
165,CH2 + H2 = CH3 + H,389550039.014592,0.025865255840474718,5.390594486988963e-05
166,H + H + H2O = H2 + H2O,1.5759101232458764e+16,0.11520197167026909,9.229224735559797e-06
167,C2H6 + OH = C2H5 + H2O,1076872266169.8728,0.12231123602012466,0.09754414859492477
168,C2H4 + H = CH + CH4,2.1899434928693364,1.111236687991131e-15,2.7951382672291843e-07
169,C2H4 + CH3 = C2H3 + CH4,25313205.37691288,0.002352335090729375,230.27849400297396
170,C3H8 + H = C3H7 + H2,490470771.1524737,0.002374991676240394,0.020097301635028226
