,rg_reactions,rg_species,conc_profile_error,conc_ss_error,rate_profile_error,max_rate_error,min_coverage,mean_coverage,ss_coverage,max_rate_coverage,og_reactions,og_species,rep,percolation_rep,percolation_step_size,total_percolated
0,2475,50,6.298076035667496e-07,4.768391402121755e-07,2397.07013640947,49442.19584023591,0.9999994361446464,0.9999999857445088,0.9999999999987573,0.999999813190703,2500,50,0,1,25,25
1,2450,50,6.272873094264753e-07,4.781566719876075e-07,2419.011460615451,50085.13930554618,0.9999994089121433,0.9999999844368082,0.9999998573069864,0.9999998058535796,2500,50,0,1,25,50
2,2425,50,0.0032353503834908724,0.0036786538209542465,1086757.9107270886,17441645.82361442,0.8866201144274638,0.9866049293776535,0.9999995842282726,0.9935357473212018,2500,50,0,1,25,75
3,2400,50,0.003234735319519977,0.003678283706843744,1099081.0463393545,17624367.98916604,0.88662011325446,0.9866047813903092,0.9999995842282726,0.9935355545362792,2500,50,0,1,25,100
4,2375,50,0.0032351093474411435,0.003678272011774288,1109701.7917754536,17809553.565219864,0.8866201132542008,0.9866047812594798,0.9999995842282726,0.9935355545327079,2500,50,0,1,25,125
5,2350,50,0.0032360000678677446,0.0036818241611279987,1121386.1112151507,18013784.07478983,0.8764855163577606,0.9798279900076712,0.9999995840502,0.9935117698366954,2500,50,0,1,25,150
6,2325,50,0.02488173548678066,0.026362510462044426,4469622.051771135,120215855.79502657,0.753466267344905,0.9494395279377403,0.9999995491831828,0.8978143362606568,2500,50,0,1,25,175
7,2300,50,0.0248817490095836,0.026362672628345546,4518195.349646291,121518417.75884429,0.7534662515369589,0.9494326047579332,0.9999668650529975,0.8978135873095678,2500,50,0,1,25,200
8,2275,50,0.02488172950623951,0.026362687595994947,4567847.661407938,122852905.88839895,0.7534491377069791,0.9493911427849363,0.9980546669412791,0.8977925945745352,2500,50,0,1,25,225
9,2250,50,0.02490460417327424,0.02638307241518551,4620273.153589151,124357280.92592236,0.7534491357650678,0.9493907285457527,0.9980546669412791,0.8977862882845872,2500,50,0,1,25,250
10,2225,50,0.02490454798447642,0.026383044605083516,4672226.870442097,125756753.51181228,0.7534491357597095,0.9493907159340079,0.9980546669412791,0.8977862657020025,2500,50,0,1,25,275
11,2200,50,0.02490423960789313,0.026382934097448008,4725198.960087642,127184007.917458,0.7534481697158062,0.9493860671596109,0.9980546654806621,0.8977576236337663,2500,50,0,1,25,300
12,2175,50,0.024904239609456324,0.02638293409745185,4779511.591887125,128645893.07558863,0.7534481678494537,0.9493860669727211,0.9980546654806622,0.8977576236048488,2500,50,0,1,25,325
13,2150,50,0.024904241635560903,0.026382937196595166,4832764.6508216,130093567.85827787,0.5703416144644138,0.8627524297377378,0.9980546654806622,0.8974059741074063,2500,50,0,1,25,350
14,2125,50,0.02490424165397621,0.026382937196554157,4889620.700935766,131624080.2685174,0.5703416144644138,0.8627524296687932,0.9980546654806622,0.8974059735007361,2500,50,0,1,25,375
15,2100,50,0.024904243797485553,0.02638293720367676,4947830.2846933175,133191032.41918866,0.5703416144644132,0.8627524290899745,0.9980546623578315,0.8974059734910926,2500,50,0,1,25,400
16,2075,50,0.024903404880272668,0.02637207309187601,4925399.211882417,132704082.21773234,0.562253581778861,0.8566187162651066,0.9979263662005131,0.8817148744018248,2500,50,0,1,25,425
17,2050,50,0.0,0.05206686445033763,0.0,134256415.30954054,1.1759504226549044e-27,0.7620241299611425,0.9979263662004794,0.8509052879846659,2500,50,0,1,25,450
18,2025,50,0.0,0.05206686445033763,0.0,124337601.29789057,1.1759504226549044e-27,0.7535896357981378,0.9977771288716423,0.7784304691899854,2500,50,0,1,25,475
19,2000,50,0.0,0.05206686445033763,0.0,125889489.37031497,1.1759504226549044e-27,0.7003503212653633,0.7341124301342341,0.7784160500157545,2500,50,0,1,25,500
