,rxn,real_molrank,energy_molrank,max_rate
0,s12 + s2 = s23 + s3,9.227330379086973e-31,9.81317100380695e-46,4.436223261909406e-54
1,s12 + s2 = s23 + s7,1.854583980597507e-64,3.1779986637789157e-77,8.916282671028935e-88
2,s12 + s13 = s17 + s24,2.3831466719819017e-21,5.376085531320592e-41,8.087858176369922e-36
3,s5 + s6 = s16 + s24,1.1904454940481345e-06,1.1584490633246e-13,2.543336600830707e-17
4,s12 + s18 = s1 + s3,9.153529188226566e-47,3.307448551036027e-59,3.3612673597527473e-63
5,s1 + s18 = s15 + s24,2.4558211502616956e-07,5.149849954142153e-15,4.479065990653917e-26
6,s12 + s21 = s15 + s9,8.558650893385102e-41,6.314854667516824e-67,7.634847930670984e-53
7,s15 + s9 = s16 + s18,0.02497389295859012,0.01054009782853675,1.6490080759406046e-17
8,s15 + s2 = s18 + s9,19427.090225076412,0.015280685523925887,1.1740551868920615e-23
9,s18 + s9 = s21 + s24,8964796878.380447,0.024883615970386404,0.0652355020040043
10,s12 = s2 + s22,4.876723594490835e-36,1.5006816367475852e-38,1.6005123622593216e-47
11,s2 + s9 = s14 + s24,16480.612615319176,2.968898893701892e-08,4.991243303145671e-20
12,s18 + s6 = s22 + s3,4.0101497451144216e-45,6.361418596633933e-54,1.8401367219274925e-49
13,s12 = s15 + s21,7.789460900155483e-10,1.260947451092178e-31,2.5564558303280527e-21
14,s12 + s18 = s23 + s7,4.712566567383192e-65,1.1035658024532599e-80,1.7305015210943023e-81
15,s12 + s2 = s15 + s22,2.939629435392723e-44,3.973084916931549e-72,1.4132855275496463e-67
16,s12 + s4 = s16 + s7,3.8828339764065496e-44,1.6278728343240648e-55,9.73253496077886e-58
17,s1 + s5 = s16 + s7,38.18162433979521,0.002138281062614688,1.5094736164731282e-22
18,s2 + s9 = s16 + s3,48180221334.85255,0.014747622135886606,1.4591642476817095e-13
19,s5 + s6 = s24 + s9,5.161704925990625e-19,2.5478668914482317e-33,1.1027764922120236e-29
20,s2 + s5 = s15 + s16,0.0051075315957914294,0.0070569105099032425,1.6391530827850344e-31
21,s18 + s7 = s21 + s9,4.090582199170974e-05,0.0034959092791735672,4.721798700778368e-26
22,s12 + s9 = s15 + s22,3.687508098913684e-41,2.1526082407209675e-59,5.134340222563434e-59
23,s7 + s9 = s24 + s3,6.97642831314997e-21,0.0014291258309760565,4.954762911776364e-41
24,s17 + s20 = s1 + s16,2.5423499036332813e-07,0.00015515022328364608,5.928599013833753e-25
25,s12 + s2 = s13 + s9,3.898023558533468e-23,1.6289707862120547e-40,1.874052632279122e-46
26,s2 + s5 = s6 + s7,1.5023884703772002e-06,0.0070569105099032425,4.821594632500525e-35
27,s21 + s7 = s1 + s20,7.344952293084508e-18,1.5780884816351988e-24,7.052544873230293e-33
28,s4 + s6 = s18 + s24,1.9373569988173552e-39,9.681978432855332e-43,7.051465005553696e-41
29,s1 + s12 = s15 + s22,5.256105760789814e-22,1.1462471139759054e-41,5.832718760142692e-48
30,s12 + s2 = s16 + s5,1.8602577956105731e-16,2.5919288677132137e-37,8.943560669226312e-40
31,s20 + s4 = s15 + s3,6.479223216736469e-15,1.7767852478551712e-17,1.922340532427568e-26
32,s16 + s4 = s2 + s3,1.3894030354335523e-14,2.4958189690784643e-15,7.295492352407147e-16
33,s2 + s6 = s24 + s3,9.564162008444879e-21,1.446379517975575e-41,2.8971324029010903e-30
34,s12 + s18 = s16 + s8,0.10732763715760713,3.0846130061942317e-18,3.941178054484853e-18
35,s12 + s15 = s21 + s3,5.337120873521175,0.0010849144636083912,2.2996929183100626e-23
36,s12 + s9 = s13 + s21,0.0013416916130302855,4.107097713878275e-08,1.8681182604281667e-21
37,s20 + s4 = s24,5.216092600351887e-21,3.9207329269763064e-16,1.5475784505542184e-32
38,s2 + s5 = s1 + s15,1.6738324969227198e-33,1.4192545104613419e-37,5.371807586383627e-62
39,s18 + s6 = s1 + s16,9.353893939276398e-48,1.2007906306163507e-52,4.292219698690176e-52
40,s2 + s6 = s1 + s19,1.424547065497486e-50,5.202708933906124e-65,4.3151731006504453e-60
41,s21 + s9 = s15 + s7,2.1994113500738044e-43,9.913038063334295e-53,1.3223775060639793e-48
42,s2 + s9 = s16 + s24,4332556383.541294,0.014747622135886606,1.3121383008997273e-14
43,s5 + s6 = s24 + s7,3.3133894343458035e-53,4.504888165414013e-53,7.07891681165597e-64
44,s1 + s22 = s14 + s9,85540094792.02141,0.04430576896392052,0.012773260441264632
45,s12 + s2 = s24 + s9,8.879037412585615e-32,6.0769044337724905e-52,4.268774466160787e-55
46,s21 + s4 = s24 + s7,2.1101027413683356e-51,9.753168499254968e-63,2.2008893797077432e-52
47,s18 + s4 = s15 + s5,1.5834091744678425e-52,1.6034192864037076e-56,1.99917012813583e-59
48,s1 + s12 = s2 + s3,581847671980.8662,0.00045996314882601133,6.4567837603750656e-15
49,s12 + s6 = s22 + s24,1.5737533889189327e-72,5.8840915160028684e-86,5.163269889312632e-84
50,s2 + s4 = s3 + s7,3.246884436039687e-41,3.20318622105418e-42,1.711368236189479e-58
51,s6 + s7 = s2 + s20,1.7463624122998838,6.909950370012928e-10,5.105569430654236e-16
52,s1 + s17 = s24,676.3857965677644,0.0033357467487721694,1.323575517491341e-17
